total_articles,fiscal_articles,tariff_fiscal_articles,non_tariff_fiscal_articles,rate,tariff_rate,non_tariff_rate,fiscal_policy_index,tariff_fiscal_index,non_tariff_fiscal_index
18,5,2,3,0.2777777777777778,0.1111111111111111,0.16666666666666666,85.0153438522938,53.33629388451456,140.74599140738928
19,5,3,2,0.2631578947368421,0.15789473684210525,0.10526315789473684,80.54085207059411,75.79368078325753,88.89220509940375
23,8,2,6,0.34782608695652173,0.08695652173913043,0.2608695652173913,106.45399578026354,41.74144738788096,220.29807350721802
20,6,4,2,0.3,0.2,0.1,91.8165713604773,96.00532899212621,84.44759484443357
20,3,1,2,0.15,0.05,0.1,45.90828568023865,24.001332248031552,84.44759484443357
16,5,3,2,0.3125,0.1875,0.125,95.64226183383052,90.00499593011833,105.55949355554195
25,3,0,3,0.12,0.0,0.12,36.72662854419092,0.0,101.33711381332027
24,8,3,5,0.3333333333333333,0.125,0.20833333333333334,102.01841262275255,60.003330620078884,175.9324892592366
27,8,4,4,0.2962962962962963,0.14814814814814814,0.14814814814814814,90.68303344244671,71.11505851268608,125.10754791767936
24,4,3,1,0.16666666666666666,0.125,0.041666666666666664,51.009206311376275,60.003330620078884,35.18649785184732
16,2,1,1,0.125,0.0625,0.0625,38.25690473353221,30.001665310039442,52.779746777770974
27,9,7,2,0.3333333333333333,0.25925925925925924,0.07407407407407407,102.01841262275255,124.45135239720064,62.55377395883968
19,6,5,1,0.3157894736842105,0.2631578947368421,0.05263157894736842,96.64902248471294,126.32280130542921,44.44610254970188
25,4,3,1,0.16,0.12,0.04,48.96883805892123,57.60319739527573,33.779037937773424
26,9,2,7,0.34615384615384615,0.07692307692307693,0.2692307692307692,105.94219772362766,36.925126535433165,227.3589091965519
23,9,2,7,0.391304347826087,0.08695652173913043,0.30434782608695654,119.7607452527965,41.74144738788096,257.01441909175435
21,4,4,0,0.19047619047619047,0.19047619047619047,0.0,58.29623578443003,91.43364665916782,0.0
24,10,6,4,0.4166666666666667,0.25,0.16666666666666666,127.5230157784407,120.00666124015777,140.74599140738928
16,6,1,5,0.375,0.0625,0.3125,114.77071420059663,30.001665310039442,263.8987338888549
21,5,2,3,0.23809523809523808,0.09523809523809523,0.14285714285714285,72.87029473053754,45.71682332958391,120.63942120633367
27,5,2,3,0.18518518518518517,0.07407407407407407,0.1111111111111111,56.6768959015292,35.55752925634304,93.83066093825951
19,6,3,3,0.3157894736842105,0.15789473684210525,0.15789473684210525,96.64902248471294,75.79368078325753,133.33830764910564
20,7,2,5,0.35,0.1,0.25,107.11933325389018,48.002664496063105,211.1189871110839
17,6,1,5,0.35294117647058826,0.058823529411764705,0.29411764705882354,108.01949571820859,28.236861468272416,248.3752789542164
24,7,6,1,0.2916666666666667,0.25,0.041666666666666664,89.26611104490848,120.00666124015777,35.18649785184732
19,3,0,3,0.15789473684210525,0.0,0.15789473684210525,48.32451124235647,0.0,133.33830764910564
22,6,3,3,0.2727272727272727,0.13636363636363635,0.13636363636363635,83.46961032770663,65.45817885826787,115.1558111515003
16,3,1,2,0.1875,0.0625,0.125,57.385357100298314,30.001665310039442,105.55949355554195
18,3,1,2,0.16666666666666666,0.05555555555555555,0.1111111111111111,51.009206311376275,26.66814694225728,93.83066093825951
25,4,2,2,0.16,0.08,0.08,48.96883805892123,38.40213159685049,67.55807587554685
21,6,6,0,0.2857142857142857,0.2857142857142857,0.0,87.44435367664505,137.15046998875172,0.0
24,2,1,1,0.08333333333333333,0.041666666666666664,0.041666666666666664,25.504603155688137,20.00111020669296,35.18649785184732
22,2,1,1,0.09090909090909091,0.045454545454545456,0.045454545454545456,27.82320344256888,21.81939295275596,38.38527038383344
22,6,2,4,0.2727272727272727,0.09090909090909091,0.18181818181818182,83.46961032770663,43.63878590551192,153.54108153533377
18,7,5,2,0.3888888888888889,0.2777777777777778,0.1111111111111111,119.02148139321132,133.34073471128642,93.83066093825951
21,8,2,6,0.38095238095238093,0.09523809523809523,0.2857142857142857,116.59247156886006,45.71682332958391,241.27884241266733
28,9,7,2,0.32142857142857145,0.25,0.07142857142857142,98.37489788622568,120.00666124015777,60.31971060316683
23,5,3,2,0.21739130434782608,0.13043478260869565,0.08695652173913043,66.53374736266471,62.612171081821444,73.43269116907265
25,7,3,4,0.28,0.12,0.16,85.69546660311215,57.60319739527573,135.1161517510937
19,5,3,2,0.2631578947368421,0.15789473684210525,0.10526315789473684,80.54085207059411,75.79368078325753,88.89220509940375
22,9,3,6,0.4090909090909091,0.13636363636363635,0.2727272727272727,125.20441549155996,65.45817885826787,230.3116223030006
20,3,4,-1,0.15,0.2,-0.05,45.90828568023865,96.00532899212621,-42.223797422216784
22,8,1,7,0.36363636363636365,0.045454545454545456,0.3181818181818182,111.29281377027552,21.81939295275596,268.6968926868341
29,9,3,6,0.3103448275862069,0.10344827586206896,0.20689655172413793,94.98266002807996,49.6579287890308,174.71916174710393
24,7,2,5,0.2916666666666667,0.08333333333333333,0.20833333333333334,89.26611104490848,40.00222041338592,175.9324892592366
21,7,4,3,0.3333333333333333,0.19047619047619047,0.14285714285714285,102.01841262275255,91.43364665916782,120.63942120633367
24,6,3,3,0.25,0.125,0.125,76.51380946706442,60.003330620078884,105.55949355554195
23,6,3,3,0.2608695652173913,0.13043478260869565,0.13043478260869565,79.84049683519765,62.612171081821444,110.14903675360901
21,6,3,3,0.2857142857142857,0.14285714285714285,0.14285714285714285,87.44435367664505,68.57523499437586,120.63942120633367
20,5,2,3,0.25,0.1,0.15,76.51380946706442,48.002664496063105,126.67139226665034
21,6,4,2,0.2857142857142857,0.19047619047619047,0.09523809523809523,87.44435367664505,91.43364665916782,80.42628080422244
20,5,4,1,0.25,0.2,0.05,76.51380946706442,96.00532899212621,42.223797422216784
23,4,2,2,0.17391304347826086,0.08695652173913043,0.08695652173913043,53.22699789013177,41.74144738788096,73.43269116907265
18,1,0,1,0.05555555555555555,0.0,0.05555555555555555,17.00306877045876,0.0,46.915330469129756
28,8,5,3,0.2857142857142857,0.17857142857142858,0.10714285714285714,87.44435367664505,85.71904374296983,90.47956590475025
20,6,1,5,0.3,0.05,0.25,91.8165713604773,24.001332248031552,211.1189871110839
